名稱,經度,緯度
南區建成門市,120.674803,24.126282
員林中山門市,120.568526,23.954643
斗六明德北門市,120.5351,23.715108
鼓山青海門市,120.289013,22.651196
三民九如二門市,120.303933,22.641354
中壢環中東門市,121.255206,24.962569
北區中清服務中心,120.675482,24.160952
北屯中清門市,120.665911,24.183112
草屯太平門市,120.6832,23.971204
泰山明志門市,121.425087,25.042055
東港光復門市,120.45853,22.470206
朴子山通門市,120.241738,23.464199
善化大成門市,120.298407,23.129779
羅東中正門市,121.771718,24.677084
基隆義一門市,121.74671,25.134767
淡水鼻頭門市,121.447322,25.167226
馬公同和門市,119.571722,23.567429
新豐學府門市,120.998183,24.873304
台東新生門市,121.144926,22.755202
東勢豐勢服務中心,120.829743,24.252821
虎尾光復門市,120.433844,23.711222
桃園三民服務中心,121.307652,24.983596
平鎮中豐服務中心,121.216753,24.943087
屏東和平服務中心,120.477539,22.679892
南屯五權西門市,120.646154,24.139977
板橋民生門市,121.466962,25.026004
新竹東勝門市,120.987642,24.803613
鹿港民族門市,120.436264,24.055613
士林承德服務中心,121.517426,25.090281
板橋南雅西服務中心,121.451667,25.014744
沙鹿中山門市,120.561145,24.241718
台南文賢服務中心,120.193706,23.005999
新莊民安門市,121.424899,25.023792
西屯甘肅服務中心,120.655929,24.171466
南屯大墩十四服務中心,120.645495,24.152577
佳里義民門市,120.175422,23.16147
大雅學府門市,120.650143,24.220179
歸仁中山門市,120.28044,22.968195
頭份自強門市,120.905386,24.686911
新竹關新服務中心,121.020019,24.787948
龍潭中正門市,121.21806,24.861686
鳳山中山西服務中心,120.345273,22.628282
左營自由四服務中心,120.317877,22.686938
新莊仁愛服務中心,121.444362,25.036612
桃園文中服務中心,121.27722,24.993455
台中中港門市,120.619412,24.180804
大寮鳳林三門市,120.396296,22.603896
西屯福星北服務中心,120.644497,24.183862
北投文林北服務中心,121.51404,25.108484
蘆竹南崁服務中心,121.289097,25.051326
板橋萬板服務中心,121.47039,25.020988
永康永大服務中心,120.261371,23.006379
新莊中華服務中心,121.452239,25.052684
台中公益門市,120.66059,24.15066
大安潮州服務中心,121.524982,25.028981
永和成功服務中心,121.526395,24.997133
三重福德北門市,121.502162,25.064426
大里中興門市,120.68834,24.10267
屏東民族門市,120.485306,22.670597
啄木鳥藥局屏東店站(多站),120.498383,22.66709
7-ELEVEN 仁伯店站,120.255538,22.948681
中油台糖三股加油站,120.131288,23.102831
全聯台中文心店站,120.656686,24.166376
臺中市龍泉市場站(多站),120.54729,24.19306
全家新竹濱海店站,120.922549,24.813135
全家桃園愛國店站(多站),121.316731,24.985957
新北市鴨母港平面停車場站(多站),121.4558,25.082565
全聯楠梓興楠店站(多站),120.333045,22.730116
台南市北區文賢路365巷停車場站(多站),120.193204,23.007961
中油順天加油站,120.61745,24.342072
臺南萬昌街停車場站(多站),120.210436,22.991158
中油興榮加油站,121.264524,24.902853
中油長治加油站,120.538653,22.692277
中油富里加油站,121.252477,23.182963
全聯台中健行店站,120.679821,24.159041
臺中市惠順停車場站(多站),120.63918,24.164683
中油台糖潭頂加油站,120.318032,23.076168
全家新店城泰店站,121.485745,24.951457
HiLife 中壢壢榮店站(多站),121.26022,24.958801
台竣實業站,120.595144,24.170264
全聯龍潭北龍店站(多站),121.211193,24.865344
南港國小地下停車場B1F站,121.61128,25.05649
中油力行加油站(多站),121.29629,24.99868
中華電信平鎮服務中心站(多站),121.219087,24.940893
中油林森路加油站(多站),120.443741,23.480679
7-ELEVEN 興安店站(多站),120.558467,24.233191
全聯台南培安店站(多站),120.213613,23.036345
鳳山福利站(多站),120.373554,22.627485
7-ELEVEN 正旺店站,120.182416,22.933316
中油台糖仁新加油站,120.359301,22.703641
全家林園鑫園店站,120.394762,22.512092
中油六合加油站,121.255071,24.911002
全聯台中惠文店站(多站),120.643215,24.143713
基隆市中正區公所站(多站),121.759345,25.140654
臺中市黎明里活動中心站,120.629619,24.155406
全聯三重力行店站,121.484895,25.068766
全聯高雄鼓山店站(多站),120.28431,22.665183
八百屋八德店站,120.311692,22.63541
新北市民生立體停車場站(多站),121.461877,25.138196
Gogoro 嘉義興業東門市站,120.454614,23.469319
東吳大學城區部站,121.50923,25.037828
中油崁頂加油站(多站),120.520916,22.521373
中油長成加油站,120.955369,24.642766
全聯平鎮和平店站,121.219773,24.946233
台糖大埔美加油站,120.506769,23.60229
家樂福樹林店站,121.421508,24.997036
eReady 大安建國店站,121.53817,25.031119
新北市秀山公園站(多站),121.523578,24.995838
中油萬巒加油站,120.564178,22.57022
管仲停車場站(多站),120.31391,22.60451
吉盛汽車有限公司站,121.552992,25.072548
全家秀水好水店站,120.49815,24.032114
臺中市光大停車場站(多站),120.675822,24.148704
臺南福利站(多站),120.209048,22.998775
臺北市金山公園站(多站),121.525267,25.032032
捷運前鎮高中站旁平面停車場站,120.321877,22.587889
中油豐榮加油站,121.143023,22.739481
全家新莊新市店站,121.46253,25.059909
全聯苑裡世界店站,120.657171,24.439443
星巴克本館店站(多站),120.341469,22.650569
中油宜蘭豐富加油站(多站),121.767686,24.811315
中油智弘加油站,120.689955,24.131734
全聯雲林斗六店站(多站),120.550589,23.703846
HiLife 竹北水岸店站(多站),121.030052,24.804314
台北捷運輔大站(4號出口)A,121.436453,25.033049
岡山福利站(多站),120.28909,22.790308
家樂福斗六店站,120.530646,23.702237
寰縈車業店站,120.705525,24.130532
全鋒大崙加油站,121.16973,24.9928
應安168 桃園場停車場站(多站),121.315583,24.988469
新北市大漢停車場站,121.467472,25.024454
中油沅成加油站,120.554093,22.56125
中油通丞加油站,120.639661,23.833021
7-ELEVEN 新忠貞店站(多站),120.614401,24.242155
臺灣大道市政大樓附屬平面停車場站(惠中路側)A,120.645066,24.161998
全家中壢龍興店站,121.23013,24.942167
中油美林加油站,120.495128,22.882504
全家大里新光店站(多站),120.691908,24.109505
台塑中泰加油站,121.436322,25.057274
可樂車業店站,120.689638,24.114468
新竹竹蓮市場站(多站),120.971723,24.797328
臺中市長青學苑站(多站),120.699756,24.061536
中油北投加油站,121.502393,25.119563
中油頭份工業區加油站,120.895369,24.676638
台塑明月潭加油站,120.380138,22.589401
